,Vendor,ART_Model,Name_Model
1,Eaton,5SC1500I,5SC1500I
2,APC,SMT1500,SMARTUPS1500VA
3,APC,SMV1500CAI,EASYUPSSMV1500VA
4,APC,SUA1500I,SMARTUPS1500
5,APC,SMC1500,SMARTUPSC1500V
6,Ippon,SMARTWINNER1500 SMARTWINNER1500 
7,Cyberpower,PR1500ELCD,CYBERPOWERPR1500VA
