,Vendor,ART_Model,Name_Model
1,Eaton,5SC750I,EATON5SC750VA
2,APC,SMV750CAI,EASYUPSSMV750VA
3,APC,SMX750,SMARTUPSX750VA
4,APC,SMT750,SMARTUPS750VA
5,Ippon,BACKPOWERPROII700,BACKPOWERPROII700
6,Cyberpower,PR750ELCD,PROFESSIONALTOWERLCD
