,Vendor,ART_Model,Name_Model
1,Eaton,5E850I,EATON5E850VA
2,APC,BX800CIRS,BLACKUPS800VA
3,APC,BX950UI,BLACKUPS950VA
8,Ippon,BACKBASIC850,BACKBASIC850VA
9,Ippon,BACKCOMFOPROII850,BACKCOMFOPROII850VA
11,Powercom,RPT800A,RAPTORRPT800A
12,Powercom,RPT800AP,RAPTORRPT800AP
13,Powercom,RPT800AEURO,RAPTORRPT800A Euro
14,Cyberpower,UTI875E,CYBERPOWERUTI875E
15,Cyberpower,UT850E,CYBERPOWERUT850E
16,Cyberpower,UT850EG,CYBERPOWERUT850EG
17,Cyberpower,UTC850EI,CYBERPOWERUTC850EI
