,Vendor,ART_Model,Name_Model
1,Eaton,5E1500I,EATON5E1500VA
2,APC,BX1400UI,BACKUPS1400VA
3,Ippon,BACKBASIC1050,BACKBASIC1050VA
4,Ippon,BACKCOMFOPROII1050,BACKCOMFOPROII1050VA
5,Cyberpower,UT1500E,CYBERPOWERUT1500E
