,Vendor,ART_Model,Name_Model
1,Eaton,3S850D,3S850DIN
2,APC,BE850G2RS,BACKUPS850VA
3,Ippon,BACKVERSO800,BACKVERSO800
4,Powecom,SPD-850N,SPD-850N
5,Powecom,SPD-1000N,SPD-1000N
