,Vendor,ART_Model,Name_Model
1,Eaton,5SC1000IR,5SC1000IRACK
2,APC,SMT1500,SMARTUPS1500VA
3,APC,SMX1500RM2UNC,SMARTUPSX1500VA
4,Ippon,SMARTWINNER1000 ,SMARTWINNER1000 
5,Powercom,INFINITY1000,POWERCOMINFINITY1000
6,Cyberpower,OR1000ERM1U,CYBERPOWEROR1000ERM1U 
