,Vendor,ART_Model,Name_Model
1,Eaton,5SC1500IR,5SC1500IRACK
2,APC,SMT1500,SMARTUPS1500VA
3,APC,SMX1500RM2UNC,SMARTUPSX1500VA
4,Ippon,SMARTWINNER1500,SMARTWINNER1500
5,Powercom,INFINITY1500,POWERCOMINFINITY1500
6,Cyberpower,OR1500ERM1U,CYBERPOWEROR1500ERM1U
