,Vendor,ART_Model,Name_Model
1,Eaton,5P850IR,5P850IRACK1U
2,APC,SMT750IC,APCSMARTUPS750VA
3,APC,SMT750RMI2UC,SMARTUPS750VARACKMOUNT2U
4,APC,SUA750RMI1U,APCSMARTUPS750VAUSBRM1U
