,Vendor,ART_Model,Name_Model
1,Eaton,5SC3000IRT,EATON5SC3000IRT2U
2,APC,SMC3000I,SMARUPSC3000VA
3,APC,SMX3000RMHV2U,SMARTUPSX3000VA
4,APC,SMC3000RMI2U,SMARTUPSC3000VARACKMOUNT
5,Ippon,INNOVART3K,INNOVART3K
6,Ippon,SMARTWINNER3000,SMARTWINNER3000
7,Powercom,SNT3000,POWERCOMSENTINELSNT3000
8,Cyberpower,PR3000ERT2U,CYBERPOWERPR3000ERT2U
