,Vendor,ART_Model,Name_Model
1,Eaton,5E500I,5E500VA
2,APC,BX650CIRS,BLACKUPS650VA
3,Ippon,BACKBASIC650,BACKBASIC650VA
4,Ippon,BACKCOMFOPROII650,BACKBASICPROII650VA
5,Powercom,RPT600A,RAPTORRPT600A
6,Powercom,RPT600AP,RAPTORRPT600AP
7,Powercom,RPT600A EURO,RAPTORRPT600AEURO
8,Cyberpower,UTI675E,CYBERPOWERUTI675E
9,Cyberpower,UT650E,CYBERPOWERUT650E
10,Cyberpower,UT650EG,CYBERPOWERUT650EG
11,Cyberpower,UTC650EI,CYBERPOWERUTC650EI
