,Vendor,ART_Model,Name_Model
1,Eaton,5PX2200iRT,5PX2200VA
2,APC,SMT2200IC,SmartUPSLineInteractive2200VA
3,APC,SMT2200RMI2UC,SmartUPSLineInteractive2200VARackmount2U
4,APC,SMX2200RMHV2U,SmartUPSX2200VA
