,Vendor,ART_Model,Name_Model
1,Eaton,5E1000I,EATON5E1000VA
2,APC,BX1100CIMS,BACKUPS1100VA
3,APC,BX950UI,APCBACKUPS950VA
8,Ippon,BACKBASIC1050,BACKBASIC1050VA
9,Ippon,BACKCOMFOPROII1050,BACKCOMFOPROII1050VA
11,Powercom,RPT1000A,RAPTORRPT1000A
12,Powercom,RPT1000AP,RAPTORRPT1000AP
13,Powercom,RPT1000AEURO,RAPTORRPT1000AEuro
14,Cyberpower,UT1000E,CYBERPOWERUT1000E
15,Cyberpower,UT1000G,CYBERPOWERUT1000G
