,Vendor,ART_Model,Name_Model
1,Eaton,5PX3000iRTN,5PX3000VA
2,APC,SMT3000RMI2UC,SMT3000RMI2U
3,APC,SMX3000RMHV2U,SMX3000RMHV2U
4,APC,SMX3000RMHV2UNC,SMX3000RMHV2U
