,Vendor,ART_Model,Name_Model
1,Eaton,5SC2200IRT,EATON5SC2200IRT2U
2,APC,SMC2000I,APCSMARTUPSC2000VA
3,APC,SMX2200RMLV2U,SMARTUPSX2200VA
4,APC,SMC2000I2U,SMARTUPSC2000VA2URACK 
5,Ippon,INNOVART2K,INNOVART2K 
6,Ippon,SMARTWINNER2000E,SMARTWINNER2000E
7,Powercom,SNT2000,POWERCOMSENTINELSNT2000
8,Cyberpower,PR2200ERT2U,CYBERPOWRPR3000ERT2U
