,Vendor,ART_Model,Name_Model
1,Eaton,5E2000I,EATON5E2000VA
2,Ippon,BACKBASIC2200,BACKBASIC2200VA
3,Ippon,BACKCOMFOPROII2200,BACKCOMFOPROII2200VA
4,Cyberpower,UT2200E,CYBERPOWERUT2200ES
