,Vendor,ART_Model,Name_Model
1,Eaton,5SC1000I,5SC1000I
2,APC,SMT1000,SMARTUPS1000VA
3,APC,SMX1000,SMARTUPSX1000VA
4,APC,SUA1000I,SMARTUPS1000
5,APC,SMC1000,SMARTUPSC1000V
6,Ippon,SMARTWINNER1000,SMARTWINNER1000
7,Cyberpower,PR1000ELCD,CYBERPOWERPR1000VA
