,Vendor,Model,Current_Price,Old_price,Time,Date
228,Ippon,Back Comfo Pro II 850,9390,,10.08.2022,15:37:01
229,Ippon,Back Verso 800,5390,,10.08.2022,15:37:01
230,Ippon,Back Basic 1050,5090,,10.08.2022,15:37:01
231,PowerCom,Raptor RPT-1000A,4500,4439,10.08.2022,15:37:01
232,PowerCom,Raptor RPT-1000AP,4140,,10.08.2022,15:37:01
233,PowerCom,Raptor RPT-600AP,2770,2719,10.08.2022,15:37:01
234,PowerCom,Raptor RPT-1500AP,8040,,10.08.2022,15:37:01
235,Ippon,Back Power Pro II Euro 650,5390,,10.08.2022,15:37:01
236,PowerCom,Raptor RPT-800AP,3500,,10.08.2022,15:37:01
237,PowerCom,RPT-1000AP EURO USB,5230,7690,10.08.2022,15:37:01
238,Ippon,Innova G2 Euro 2000,38390,,10.08.2022,15:37:01
239,PowerCom,Spider SPD-1100U LCD,8420,8259,10.08.2022,15:37:01
240,PowerCom,Raptor RPT-800A,3080,3580,10.08.2022,15:37:01
241,PowerCom,Raptor RPT-2000AP,10170,10019,10.08.2022,15:37:01
242,PowerCom,WOW 700U,4380,,10.08.2022,15:37:01
243,PowerCom,Raptor RPT-1500AP LCD,9260,9210,10.08.2022,15:37:01
244,PowerCom,Raptor RPT-1025AP LCD,7920,7799,10.08.2022,15:37:01
245,PowerCom,WOW 1000U,6490,8820,10.08.2022,15:37:01
246,PowerCom,Spider SPD-650N,4180,,10.08.2022,15:37:01
247,PowerCom,Spider SPD-850N,5240,5129,10.08.2022,15:37:01
248,Ippon,Smart Power Pro II Euro 1200,11590,,10.08.2022,15:37:01
249,Ippon,Innova G2 1000,20390,,10.08.2022,15:37:01
250,PowerCom,Imperial IMP-1500AP,12070,11879,10.08.2022,15:37:01
251,Ippon,Smart Winner II 3000,48390,,10.08.2022,15:37:01
252,Ippon,Back Basic 1500,10490,,10.08.2022,15:37:01
253,Ippon,Back Verso 400,3990,,10.08.2022,15:37:01
254,PowerCom,WOW 500U,4350,4299,10.08.2022,15:37:01
255,Ippon,Smart Winner II 1500 Euro,32490,,10.08.2022,15:37:01
256,HIPER,Office-800,5130,5039,10.08.2022,15:37:01
257,Ippon,Back Office 400,2890,,10.08.2022,15:37:01
258,Ippon,Back Office 600,3590,3790,10.08.2022,15:37:01
259,PowerCom,RPT-600AP EURO USB,3460,3680,10.08.2022,15:37:01
260,PowerCom,Raptor RPT-600AP SE2,2090,,10.08.2022,15:37:01
261,PowerCom,Infinity INF-1500,13640,13369,10.08.2022,15:37:01
262,PowerCom,Infinity INF-800,9720,,10.08.2022,15:37:01
263,PowerCom,WOW 850U,5590,,10.08.2022,15:37:01
264,Ippon,Back Power Pro II 600,5790,,10.08.2022,15:37:01
265,PowerCom,Spider SPD-900U LCD USB,7370,7219,10.08.2022,15:37:01
266,PowerCom,Imperial IMD-1200AP,11390,,10.08.2022,15:37:01
267,PowerCom,Raptor RPT-1025AP,7110,7680,10.08.2022,15:37:01
268,Ippon,Back Office 1000,7190,8610,10.08.2022,15:37:01
269,PowerCom,Infinity INF-1100,10690,13490,10.08.2022,15:37:01
270,Ippon,Smart Winner II 1000,23390,,10.08.2022,15:37:01
271,PowerCom,Imperial IMP-2000AP,15050,14679,10.08.2022,15:37:01
272,PowerCom,Macan MAC-2000,30790,,10.08.2022,15:37:01
273,Ippon,Back Power Pro II 800,7190,7690,10.08.2022,15:37:01
274,PowerCom,Imperial IMD-2000AP,15330,16490,10.08.2022,15:37:01
275,PowerCom,Imperial IMP-1025AP,9230,8939,10.08.2022,15:37:01
276,PowerCom,Imperial IMP-825AP,7020,6899,10.08.2022,15:37:01
277,PowerCom,RPT-800AP EURO USB,3970,,10.08.2022,15:37:01
278,PowerCom,Macan MRT-3000SE,48000,47329,10.08.2022,15:37:01
279,PowerCom,King Pro RM KIN-1000AP,17370,19860,10.08.2022,15:37:01
280,PowerCom,Imperial IMD-1025AP,9490,,10.08.2022,15:37:01
281,PowerCom,Infinity INF-500,8170,,10.08.2022,15:37:01
282,Ippon,Back Power Pro II 700,6990,8640,10.08.2022,15:37:01
283,PowerCom,Smart King Pro+ SPR-1500 LCD,18890,20410,10.08.2022,15:37:01
284,PowerCom,Spider SPD-900U LCD,8550,8249,10.08.2022,15:37:01
285,PowerCom,Spider SPD-750U LCD,6330,6089,10.08.2022,15:37:01
286,PowerCom,King Pro RM KIN-1200AP LCD,20400,19779,10.08.2022,15:37:01
287,PowerCom,Macan MRT-1500SE,31670,30769,10.08.2022,15:37:01
288,Ippon,Smart Winner II 2000E,36990,38890,10.08.2022,15:37:01
289,PowerCom,Macan MAC-1500,27220,,10.08.2022,15:37:01
290,PowerCom,Imperial IMD-825AP,7320,,10.08.2022,15:37:01
291,PowerCom,King Pro RM KIN-3000AP LCD,38900,38550,10.08.2022,15:37:01
292,PowerCom,King Pro RM KIN-600AP RM,13290,,10.08.2022,15:37:01
293,PowerCom,Spider SPD-1100U LCD USB,8160,,10.08.2022,15:37:01
294,PowerCom,Imperial IMP-3000AP,20790,20539,10.08.2022,15:37:01
295,Ippon,Innova RT II 2000,59990,,10.08.2022,15:37:01
296,Ippon,Innova RT 1000,31990,,10.08.2022,15:37:01
297,HIPER,Office-400,4850,4689,10.08.2022,15:37:01
298,Eaton,9SX 1000i,42030,40619,10.08.2022,15:37:01
299,Eaton,9SX 1500I,55520,53639,10.08.2022,15:37:01
300,PowerCom,Imperial IMP-625AP,5840,,10.08.2022,15:37:01
301,PowerCom,Spider SPD-750U LCD USB,6330,6239,10.08.2022,15:37:01
302,HIPER,Office-600,4170,,10.08.2022,15:37:01
303,PowerCom,Imperial IMD-1500AP,15370,14949,10.08.2022,15:37:01
304,Eaton,5P 1550I,36470,44020,10.08.2022,15:37:01
305,PowerCom,Spider SPD-550U LCD,5630,5549,10.08.2022,15:37:01
306,Ippon,Innova RT 1500 Euro,47460,44490,10.08.2022,15:37:01
307,PowerCom,Smart King Pro+ SPR-1000 LCD,17300,,10.08.2022,15:37:01
308,PowerCom,Sentinel SNT-1500,34050,,10.08.2022,15:37:01
309,PowerCom,Smart King RT SRT-1000A LCD,22480,,10.08.2022,15:37:01
310,PowerCom,Imperial IMD-625AP,6280,6179,10.08.2022,15:37:01
311,PowerCom,Smart King RT SRT-2000A LCD,33920,35990,10.08.2022,15:37:01
312,PowerCom,Sentinel SNT-1000,30220,,10.08.2022,15:37:01
313,PowerCom,Macan MRT-10K,90670,,10.08.2022,15:37:01
314,Ippon,Smart Winner II 1150 1U,27190,,10.08.2022,15:37:01
315,PowerCom,Smart King Pro+ SPT-700,9350,9250,10.08.2022,15:37:01
316,PowerCom,SPT-500-II,7590,9550,10.08.2022,15:37:01
317,Ippon,Innova RT II 10000,245990,,10.08.2022,15:37:01
318,Eaton,5SC 1500i Rack2U,68640,67759,10.08.2022,15:37:01
319,PowerCom,Spider SPD-550U LCD USB,5490,5409,10.08.2022,15:37:01
320,Ippon,Innova RT 20K Tower 3/1,445090,,10.08.2022,15:37:01
321,Ippon,Innova RT II 1000,35990,,10.08.2022,15:37:01
322,Ippon,Innova RT 1500,43990,,10.08.2022,15:37:01
323,PowerCom,Imperial IMD-525AP,5680,,10.08.2022,15:37:01
324,PowerCom,Macan MRT-1000SE,26160,,10.08.2022,15:37:01
325,Eaton,9SX 700i,28470,,10.08.2022,15:37:01
326,PowerCom,Macan MRT-2000SE,39600,,10.08.2022,15:37:01
327,PowerCom,Smart King Pro+ SPR-3000 LCD,36320,44990,10.08.2022,15:37:01
328,PowerCom,Sentinel SNT-2000,46360,46260,10.08.2022,15:37:01
329,Tripp Lite,AVRX750UD,8410,8059,10.08.2022,15:37:01
330,Ippon,Innova RT 2000,55990,,10.08.2022,15:37:01
331,Ippon,Innova RT II 1500,47990,,10.08.2022,15:37:01
332,Ippon,Innova RT 33 20K Tower,392060,,10.08.2022,15:37:01
333,Ippon,Smart Winner II 1550 1U,37790,,10.08.2022,15:37:01
334,PowerCom,Macan MRT-10K,60750,,10.08.2022,15:37:01
335,PowerCom,Imperial IMP-525AP,4440,4390,10.08.2022,15:37:01
336,PowerCom,Online ONL-M-20PM,98220,96710,10.08.2022,15:37:01
337,Tripp Lite,Omni OMNIVSX850D,8610,8399,10.08.2022,15:37:01
338,Ippon,Innova G2 Euro 3000,49990,,10.08.2022,15:37:01
339,Ippon,Back Basic 1500 Euro,10490,,10.08.2022,15:37:01
340,Ippon,Innova G2 2000,34190,,10.08.2022,15:37:01
341,Ippon,Innova G2 Euro 1000,29590,32330,10.08.2022,15:37:01
342,APC,Back-UPS BE850G2-RS,11990,11520,10.08.2022,15:37:01
343,Ippon,Back Basic 1050S Euro,5690,5990,10.08.2022,15:37:01
344,APC,Back-UPS BX500CI,6620,6399,10.08.2022,15:37:01
345,Ippon,Back Comfo Pro II 1050,11290,,10.08.2022,15:37:01
346,APC,Smart-UPS SC SC620I,25070,23999,10.08.2022,15:37:01
347,APC,Easy-UPS SMV750CAI,30490,28439,10.08.2022,15:37:01
348,PowerCom,Imperial IMP-1200AP,11730,11389,10.08.2022,15:37:01
349,APC,Back-UPS BK350EI,8780,8449,10.08.2022,15:37:01
350,APC,Easy-UPS BVX700LI-GR,4940,,10.08.2022,15:37:01
351,PowerCom,Smart King Pro+ SPT-1500-II LCD,16040,15819,10.08.2022,15:37:01
352,APC,Easy-UPS BVX1600LI-GR,14680,14290,10.08.2022,15:37:01
353,APC,Easy-UPS BVX2200LI-GR,16240,15810,10.08.2022,15:37:01
354,APC,Easy-UPS BVX900LI-GR,7990,7870,10.08.2022,15:37:01
355,Tripp Lite,SmartPro SMX1500LCDT,15940,21920,10.08.2022,15:37:01
356,APC,Back-UPS Pro BR650MI,11540,11099,10.08.2022,15:37:01
357,PowerCom,Smart King Pro+ SPT-1000-II LCD,14100,13739,10.08.2022,15:37:01
358,APC,Smart-UPS SC SC420I,15430,16790,10.08.2022,15:37:01
359,HIPER,APX-600,3920,3900,10.08.2022,15:37:01
360,APC,Easy-UPS BVX700LI,4370,,10.08.2022,15:37:01
361,Eaton,5E 650VA,7060,7590,10.08.2022,15:37:01
362,APC,Smart-UPS C SMC2000I-2U,100290,,10.08.2022,15:37:01
